Отправляю 50 UDP пакетов на 127.0.0.1:9001...
Пакет 1 отправлен (512 байт аудио)
Пакет 2 отправлен (512 байт аудио)
Пакет 3 отправлен (512 байт аудио)
Пакет 4 отправлен (512 байт аудио)
Пакет 5 отправлен (512 байт аудио)
Пакет 6 отправлен (512 байт аудио)
Пакет 7 отправлен (512 байт аудио)
Пакет 8 отправлен (512 байт аудио)
Пакет 9 отправлен (512 байт аудио)
Пакет 10 отправлен (512 байт аудио)
Пакет 11 отправлен (512 байт аудио)
Пакет 12 отправлен (512 байт аудио)
Пакет 13 отправлен (512 байт аудио)
Пакет 14 отправлен (512 байт аудио)
Пакет 15 отправлен (512 байт аудио)
Пакет 16 отправлен (512 байт аудио)
Пакет 17 отправлен (512 байт аудио)
Пакет 18 отправлен (512 байт аудио)
Пакет 19 отправлен (512 байт аудио)
Пакет 20 отправлен (512 байт аудио)
Пакет 21 отправлен (512 байт аудио)
Пакет 22 отправлен (512 байт аудио)
Пакет 23 отправлен (512 байт аудио)
Пакет 24 отправлен (512 байт аудио)
Пакет 25 отправлен (512 байт аудио)
Пакет 26 отправлен (512 байт аудио)
Пакет 27 отправлен (512 байт аудио)
Пакет 28 отправлен (512 байт аудио)
Пакет 29 отправлен (512 байт аудио)
Пакет 30 отправлен (512 байт аудио)
Пакет 31 отправлен (512 байт аудио)
Пакет 32 отправлен (512 байт аудио)
Пакет 33 отправлен (512 байт аудио)
Пакет 34 отправлен (512 байт аудио)
Пакет 35 отправлен (512 байт аудио)
Пакет 36 отправлен (512 байт аудио)
Пакет 37 отправлен (512 байт аудио)
Пакет 38 отправлен (512 байт аудио)
Пакет 39 отправлен (512 байт аудио)
Пакет 40 отправлен (512 байт аудио)
Пакет 41 отправлен (512 байт аудио)
Пакет 42 отправлен (512 байт аудио)
Пакет 43 отправлен (512 байт аудио)
Пакет 44 отправлен (512 байт аудио)
Пакет 45 отправлен (512 байт аудио)
Пакет 46 отправлен (512 байт аудио)
Пакет 47 отправлен (512 байт аудио)
Пакет 48 отправлен (512 байт аудио)
Пакет 49 отправлен (512 байт аудио)
Пакет 50 отправлен (512 байт аудио)
Готово.
